dataset,i,strategy,q_text,bm25_ndcg@10,listt5_ndcg@10,calls,top10
trec-covid,0,sequential,How much impact do masks have on preventing the spread of the COVID-19?,0.61886564587798,1.0,92,"['28utunid', 'qi1henyy', 'dt2pew66', 'uc37poce', 'ugkxxaeb', 'zwyueevh', 'f7rcijh4', 'ej76fsxa', '2zkesall', '5wsj003j']"
trec-covid,1,sequential,How has the COVID-19 pandemic impacted mental health?,0.6760506633626249,0.7638363845663055,92,"['4q1j6g44', '880lwnde', '6ngsyo8o', 'hze88sr4', 'wbwd7m5w', 'd7vo3l8e', 'pf1f9fhc', 'uyebygdm', 'y9vx7coj', '5cmcri6u']"
trec-covid,2,sequential,what evidence is there for dexamethasone as a treatment for COVID-19?,0.5053603444371989,0.8634438349876061,98,"['hswuwtod', 'zi86r481', 'b8p4l0yp', 'gd6dd4qm', '6q0y3ewu', 'ztd7awzv', 'br3ahtf7', 'tw3luwll', 'ocguwlam', 'oqgw6ao6']"
trec-covid,3,sequential,what are the health outcomes for children who contract COVID-19?,0.7155506487682609,0.9575861412006988,92,"['wjbh1z8y', '18q23z8l', 'uvvsiltp', '15zj660u', 'c2iibuqa', 'gnaubzah', '03vy3uaj', '6oaks0kl', 'bdvnwrd4', 'lbsacgr7']"
trec-covid,4,sequential,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.7645708157107939,0.9095430364058891,102,"['x6x6a35w', '5eg7hf6r', '22y5ewq6', 'r2x3awlw', '4sxsyr6k', 'k36e2sob', 'jv3afofh', 'w1he9ebs', 'nrumr61g', 'rd8dqeot']"
trec-covid,5,sequential,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.4470863434938884,0.4530236674298669,95,"['dptgg05n', 'nhkd88yv', 'wdfzrzkt', '2o3dvi2d', 'ix4zo0ha', 'yrfcqf4b', 'j67b1leq', 'mpf6lxxr', 'in91dr4g', 'l9mbrdej']"
trec-covid,6,sequential,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.22009176629808017,0.6638548304119621,96,"['xbze5s3c', 'q77da2y3', '1v0f2dtx', 'nk0wie0w', 'ptvsie6m', 'xeq0dq6u', 'aju2nr9x', 'mxcfkyui', 'ddt5qmls', 'akbq0ogs']"
trec-covid,7,sequential,has social distancing had an impact on slowing the spread of COVID-19?,0.7775500257642894,0.8280830839570049,93,"['pn02p843', 'cb5ebiiv', 'ocwetgv6', 'trn2deod', 'vfnpeuzr', '3aaw7toy', 'n0nch8he', 't7p2j504', 'j1ma6r50', 'h62xj47p']"
trec-covid,8,sequential,what are the guidelines for triaging patients infected with coronavirus?,0.303631812262777,0.6927609676105795,96,"['eazqdlds', 'mu0g857x', 'x0me00m0', 'hzi8zuyt', 'lb099dyt', 'ce4p827u', 'l8vkzbh0', 'y50ou7gg', '4jag7lzb', 'jv3xx09f']"
trec-covid,9,sequential,what are best practices in hospitals and at home in maintaining quarantine?,0.04927649697181754,0.32385343806889233,94,"['8z3l5k4l', 'e4sshkgk', 'hdbbgee2', 'q03884i9', 'iphuh7wp', 'mdpyzr7c', 'ax7tm4os', 'tg02icy0', '0ojan1ey', 'nlfr3lth']"
trec-covid,0,score_balanced,How much impact do masks have on preventing the spread of the COVID-19?,0.61886564587798,1.0,335,"['28utunid', 'qi1henyy', 'dt2pew66', 'uc37poce', 'ugkxxaeb', 'zwyueevh', 'f7rcijh4', '2zkesall', 'ej76fsxa', '5wsj003j']"
trec-covid,1,score_balanced,How has the COVID-19 pandemic impacted mental health?,0.6760506633626249,0.7575841952873836,337,"['4q1j6g44', '880lwnde', '6ngsyo8o', 'hze88sr4', 'd7vo3l8e', 'uyebygdm', 'pf1f9fhc', 'wbwd7m5w', '5cmcri6u', 'zgzjl8uy']"
trec-covid,2,score_balanced,what evidence is there for dexamethasone as a treatment for COVID-19?,0.5053603444371989,0.8777267965010667,326,"['hswuwtod', 'zi86r481', 'b8p4l0yp', 'br3ahtf7', 'ztd7awzv', 'tw3luwll', 'gd6dd4qm', 'm2b836k8', '6q0y3ewu', 'ocguwlam']"
trec-covid,3,score_balanced,what are the health outcomes for children who contract COVID-19?,0.7155506487682609,1.0,334,"['wjbh1z8y', 'uvvsiltp', '18q23z8l', 'c2iibuqa', '15zj660u', 'gnaubzah', '03vy3uaj', '6oaks0kl', 'bdvnwrd4', 'hlhhvmtu']"
trec-covid,4,score_balanced,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,0.7645708157107939,0.9095430364058891,334,"['x6x6a35w', '22y5ewq6', '5eg7hf6r', 'r2x3awlw', '4sxsyr6k', 'k36e2sob', 'jv3afofh', 'w1he9ebs', 'nrumr61g', 'rd8dqeot']"
trec-covid,5,score_balanced,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",0.4470863434938884,0.5218675553460944,340,"['dptgg05n', 'wdfzrzkt', 'nhkd88yv', 'ix4zo0ha', 'yrfcqf4b', '2o3dvi2d', 'l9mbrdej', 'j67b1leq', 'd4sjferd', 'tqziaq1m']"
trec-covid,6,score_balanced,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,0.22009176629808017,0.6651773656132052,338,"['q77da2y3', 'xbze5s3c', '1v0f2dtx', 'nk0wie0w', 'ptvsie6m', 'xeq0dq6u', 'mxcfkyui', 'aju2nr9x', 'akbq0ogs', 'ddt5qmls']"
trec-covid,7,score_balanced,has social distancing had an impact on slowing the spread of COVID-19?,0.7775500257642894,0.7644536285193385,339,"['pn02p843', 'cb5ebiiv', 'trn2deod', 'vfnpeuzr', 'ocwetgv6', 'n0nch8he', '3aaw7toy', 'h62xj47p', 'c7l88gjn', 'rmv5kg3w']"
trec-covid,8,score_balanced,what are the guidelines for triaging patients infected with coronavirus?,0.303631812262777,0.6801252489394787,333,"['mu0g857x', 'eazqdlds', 'hzi8zuyt', 'x0me00m0', 'ce4p827u', 'lb099dyt', 'y50ou7gg', 'l8vkzbh0', '4jag7lzb', 'jv3xx09f']"
trec-covid,9,score_balanced,what are best practices in hospitals and at home in maintaining quarantine?,0.04927649697181754,0.2950117120395272,330,"['e4sshkgk', '8z3l5k4l', 'iphuh7wp', 'hdbbgee2', 'q03884i9', 'tg02icy0', 'mdpyzr7c', '0ojan1ey', 'ax7tm4os', '2nqava5a']"
scifact,0,sequential,PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,1.0,1.0,97,"['6923961', '21181273', '6945691', '39758684', '11271123', '57783564', '9791313', '11915280', '14471161', '21307488']"
scifact,1,sequential,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,1.0,1.0,102,"['16927286', '30261663', '23342686', '9505448', '13072112', '24521894', '13552682', '10443642', '8698857', '6209599']"
scifact,2,sequential,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,1.0,1.0,101,"['3067015', '8892905', '8524891', '12443371', '3113630', '24144677', '18340282', '45638119', '19822046', '11457219']"
scifact,3,sequential,Incidence of heart failure decreased by 10% in women since 1979.,1.0,1.0,99,"['19675911', '31889025', '33533307', '13481731', '12206390', '12810152', '7209559', '24408040', '25355575', '27240667']"
scifact,4,sequential,The extracellular domain of TMEM27 is cleaved in human beta cells.,1.0,1.0,95,"['24142891', '20943272', '21754541', '8219248', '31311495', '36180468', '31107919', '35684881', '2194320', '8570478']"
scifact,5,sequential,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,1.0,1.0,97,"['20231138', '1635872', '7820043', '12225214', '14637235', '6422576', '13277623', '38477436', '21562657', '15248287']"
scifact,6,sequential,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,0.5,0.6309297535714575,97,"['7655029', '10536636', '29090823', '457630', '34760396', '8298120', '21914176', '76776022', '6776834', '4530659']"
scifact,7,sequential,UCB T cells reduce TCR diversity after transplantation.,1.0,1.0,102,"['27910499', '27243019', '43587663', '17682477', '20220731', '24795767', '19511011', '13398997', '24101431', '14834714']"
scifact,8,sequential,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,1.0,1.0,99,"['4388470', '41380943', '13910150', '464511', '31882215', '2147704', '4423327', '4452318', '21271817', '5782614']"
scifact,9,sequential,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,1.0,1.0,96,"['8774475', '1241113', '34103335', '39758684', '17648235', '33677323', '19541444', '43419566', '33076846', '4889228']"
scifact,0,score_balanced,PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,1.0,1.0,338,"['6923961', '21181273', '6945691', '39758684', '11271123', '57783564', '9791313', '21307488', '14471161', '11915280']"
scifact,1,score_balanced,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,1.0,1.0,328,"['16927286', '30261663', '9505448', '23342686', '13072112', '13552682', '24521894', '10443642', '8698857', '6209599']"
scifact,2,score_balanced,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,1.0,1.0,339,"['3067015', '8892905', '8524891', '12443371', '3113630', '24144677', '25838286', '45638119', '4641348', '18340282']"
scifact,3,score_balanced,Incidence of heart failure decreased by 10% in women since 1979.,1.0,1.0,337,"['19675911', '31889025', '33533307', '13481731', '12206390', '12810152', '24408040', '7209559', '6085365', '25355575']"
scifact,4,score_balanced,The extracellular domain of TMEM27 is cleaved in human beta cells.,1.0,1.0,334,"['24142891', '20943272', '21754541', '8219248', '31311495', '35684881', '31107919', '2194320', '17695748', '36180468']"
scifact,5,score_balanced,Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.,1.0,1.0,329,"['20231138', '7820043', '1635872', '12225214', '14637235', '13277623', '6422576', '21562657', '38477436', '15248287']"
scifact,6,score_balanced,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,0.5,0.6309297535714575,333,"['7655029', '10536636', '29090823', '457630', '34760396', '8298120', '21914176', '76776022', '4530659', '14500725']"
scifact,7,score_balanced,UCB T cells reduce TCR diversity after transplantation.,1.0,1.0,335,"['27910499', '27243019', '43587663', '17682477', '20220731', '24795767', '19511011', '13398997', '5132358', '14834714']"
scifact,8,score_balanced,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,1.0,1.0,340,"['4388470', '41380943', '13910150', '31882215', '464511', '2147704', '4423327', '29641682', '4452318', '23581096']"
scifact,9,score_balanced,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,1.0,1.0,335,"['8774475', '1241113', '34103335', '39758684', '17648235', '33677323', '43419566', '19541444', '4889228', '33076846']"
